id,query,reference_answer,category,difficulty
q001,What is pneumonia?,Pneumonia is a lung infection that causes inflammation of the air sacs and can make breathing difficult.,disease,easy
q002,Can I take vitamin D daily?,"Yes, vitamin D can be taken daily within recommended limits to support bone and immune health.",nutrition,medium
q003,What are symptoms of dehydration?,"Symptoms include dry mouth, dizziness, dark urine, and fatigue.",symptom,high
q004,What is MRI used for?,MRI is used to create detailed images of organs and tissues using magnetic fields and radio waves.,diagnosis,easy
q005,How to treat a burn?,"Cool the burn under running water, avoid ice, and cover with a clean bandage.",first_aid,medium
q006,Can smoking cause cancer?,"Yes, smoking is a major cause of lung, throat, and other cancers.",preventive_care,high
q007,What is insulin?,Insulin is a hormone that helps control blood sugar levels.,anatomy,easy
q008,What is epilepsy?,Epilepsy is a neurological disorder marked by recurrent seizures.,disease,medium
q009,What are side effects of antibiotics?,"Common side effects include nausea, diarrhea, and allergic reactions.",side_effects,high
q010,How to lower cholesterol naturally?,"Eat more fiber, exercise regularly, and reduce saturated fats.",nutrition,easy
q011,Can I take aspirin on an empty stomach?,"No, taking aspirin on an empty stomach can increase stomach irritation.",drug_interaction,medium
q012,What is malaria?,Malaria is a mosquito-borne disease caused by Plasmodium parasites.,disease,high
q013,What is a fracture?,A fracture is a break or crack in a bone.,anatomy,easy
q014,How to stop bleeding?,Apply pressure to the wound with a clean cloth and keep it elevated.,first_aid,medium
q015,Can stress cause stomach pain?,"Yes, stress can affect digestion and cause stomach discomfort.",symptom,high
q016,What is antibiotic resistance?,It occurs when bacteria adapt and no longer respond to antibiotic treatment.,disease,easy
q017,What are treatments for anxiety?,"Common treatments include therapy, relaxation techniques, and medications.",treatment,medium
q018,What causes jaundice?,"Jaundice occurs when there is excess bilirubin in the blood, often due to liver problems.",disease,high
q019,Can I take milk with antibiotics?,Some antibiotics should not be taken with milk as calcium can reduce absorption.,drug_interaction,easy
q020,What is kidney failure?,Kidney failure occurs when the kidneys can no longer filter waste effectively.,disease,medium
q021,What is hypertension?,Hypertension is the medical term for persistently high blood pressure.,disease,high
q022,What is Type 1 diabetes?,An autoimmune condition where the pancreas produces little or no insulin.,disease,easy
q023,What is Type 2 diabetes?,A chronic condition where the body resists insulin or doesn't produce enough.,disease,medium
q024,What is asthma?,"A respiratory condition marked by spasms in the bronchi of the lungs, causing breathing difficulties.",disease,high
q025,What is COPD?,"Chronic Obstructive Pulmonary Disease, a group of lung diseases that block airflow and make breathing difficult.",disease,easy
q026,What is arthritis?,"Inflammation of one or more joints, causing pain and stiffness.",disease,medium
q027,What is rheumatoid arthritis?,An autoimmune disease where the body's immune system attacks its own joint tissues.,disease,high
q028,What is osteoarthritis?,A degenerative joint disease caused by the breakdown of cartilage in joints over time.,disease,easy
q029,What is Alzheimer's disease?,A progressive brain disorder that slowly destroys memory and thinking skills.,disease,medium
q030,What is Parkinson's disease?,"A neurological disorder affecting movement, often including tremors, stiffness, and slow movement.",disease,high
q031,What is multiple sclerosis (MS)?,An autoimmune disease where the immune system attacks the protective sheath (myelin) covering nerve fibers.,disease,easy
q032,What is Crohn's disease?,A type of inflammatory bowel disease (IBD) that causes inflammation of the digestive tract.,disease,medium
q033,What is ulcerative colitis?,An inflammatory bowel disease (IBD) that causes long-lasting inflammation and ulcers in the colon.,disease,high
q034,What is celiac disease?,An autoimmune disorder where eating gluten leads to damage in the small intestine.,disease,easy
q035,What is glaucoma?,"An eye condition that damages the optic nerve, often caused by abnormally high pressure in the eye.",disease,medium
q036,What are cataracts?,"A condition where the lens of the eye becomes progressively opaque, resulting in blurred vision.",disease,high
q037,What is macular degeneration?,An eye disease that causes vision loss in the center of the field of vision.,disease,easy
q038,What is sepsis?,A life-threatening condition caused by the body's overwhelming response to an infection.,disease,medium
q039,What is meningitis?,"Inflammation of the meninges, the protective membranes covering the brain and spinal cord.",disease,high
q040,What is tuberculosis (TB)?,An infectious disease usually caused by bacteria that most often affects the lungs.,disease,easy
q041,What is psoriasis?,"An autoimmune skin disease that causes red, itchy, scaly patches.",dermatology,medium
q042,What is eczema (atopic dermatitis)?,"A condition that makes skin red and itchy, common in children but can occur at any age.",dermatology,high
q043,What is osteoporosis?,"A condition in which bones become weak and brittle, making them more prone to fractures.",disease,easy
q044,What is anemia?,A condition where you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues.,disease,medium
q045,What is leukemia?,"Cancer of the body's blood-forming tissues, including the bone marrow and the lymphatic system.",disease,high
q046,What is lymphoma?,"Cancer of the lymphatic system, which is part of the body's germ-fighting network.",disease,easy
q047,What is melanoma?,"The most serious type of skin cancer, which develops in the cells (melanocytes) that produce pigment.",disease,medium
q048,What is a stroke?,A medical emergency where blood supply to part of the brain is interrupted or reduced.,disease,high
q049,What is a heart attack (myocardial infarction)?,"A medical emergency where blood flow to the heart muscle is blocked, causing tissue death.",disease,easy
q050,What is heart failure?,A chronic condition where the heart muscle doesn't pump blood as well as it should.,disease,medium
q051,What is an aneurysm?,A ballooning and weakened area in an artery wall.,disease,high
q052,What is arteriosclerosis?,"The thickening and hardening of the walls of the arteries, typically occurring in old age.",disease,easy
q053,What is endometriosis?,A disorder in which tissue similar to the lining inside the uterus (the endometrium) grows outside the uterus.,disease,medium
q054,What is PCOS (Polycystic Ovary Syndrome)?,"A hormonal disorder common among women of reproductive age, causing infrequent or prolonged menstrual periods.",disease,high
q055,What is hypothyroidism?,A condition where the thyroid gland doesn't produce enough crucial hormones.,disease,easy
q056,What is hyperthyroidism?,A condition where the thyroid gland produces too much thyroxine hormone (overactive thyroid).,disease,medium
q057,What is gout?,"A form of arthritis characterized by severe pain, redness, and tenderness in joints, often the big toe.",disease,high
q058,What is GERD (Gastroesophageal Reflux Disease)?,A digestive disorder where stomach acid frequently flows back into the esophagus.,disease,easy
q059,What is gastritis?,Inflammation of the lining of the stomach.,disease,medium
q060,What is a peptic ulcer?,An open sore that develops on the inside lining of your stomach and the upper portion of your small intestine.,disease,high
q061,What is IBS (Irritable Bowel Syndrome)?,"A common disorder affecting the large intestine, causing symptoms like cramping, abdominal pain, bloating, and gas.",disease,easy
q062,What is appendicitis?,"Inflammation of the appendix, a finger-shaped pouch projecting from your colon.",disease,medium
q063,What are gallstones?,Hardened deposits of digestive fluid that can form in your gallbladder.,disease,high
q064,What is cirrhosis?,Late-stage scarring (fibrosis) of the liver caused by many forms of liver diseases and conditions.,disease,easy
q065,What is hepatitis?,"Inflammation of the liver, most commonly caused by a viral infection.",disease,medium
q066,What is shingles (herpes zoster)?,"A viral infection that causes a painful rash, caused by the same virus as chickenpox.",disease,high
q067,What is chickenpox?,"A highly contagious viral infection causing an itchy rash with small, fluid-filled blisters.",disease,easy
q068,What is mono (mononucleosis)?,"An infectious illness, often called 'the kissing disease,' usually caused by the Epstein-Barr virus.",disease,medium
q069,What is athlete's foot?,A fungal infection that usually begins between the toes.,disease,high
q070,What is conjunctivitis (pink eye)?,Inflammation or infection of the transparent membrane (conjunctiva) that lines the eyelid and covers the white part of the eyeball.,disease,easy
q071,What is an ear infection (otitis media)?,"An infection of the middle ear, the air-filled space behind the eardrum.",disease,medium
q072,What is strep throat?,A bacterial infection that can make your throat feel sore and scratchy.,disease,high
q073,What is the common cold?,A viral infection of your nose and throat (upper respiratory tract).,disease,easy
q074,What is influenza (the flu)?,"A viral infection that attacks your respiratory system—your nose, throat, and lungs.",disease,medium
q075,What is bronchitis?,"Inflammation of the lining of your bronchial tubes, which carry air to and from your lungs.",disease,high
q076,What is sinusitis?,Inflammation of the tissues lining the sinuses (sinus infection).,disease,easy
q077,What is dementia?,A general term for a decline in mental ability severe enough to interfere with daily life.,disease,medium
q078,What is schizophrenia?,A serious mental disorder in which people interpret reality abnormally.,mental_health,high
q079,What is bipolar disorder?,A mental health condition that causes extreme mood swings that include emotional highs (mania or hypomania) and lows (depression).,mental_health,easy
q080,What is depression?,A mood disorder causing a persistent feeling of sadness and loss of interest.,mental_health,medium
q081,What is chest pain a symptom of?,"It can be a symptom of many conditions, including heart attack, heartburn, or muscle strain.",symptom,high
q082,"What does sudden, severe headache mean?","It can be a sign of a serious condition like a stroke, aneurysm, or meningitis.",symptom,easy
q083,What is fever?,"An elevation of body temperature above the normal range, usually a sign of infection.",symptom,medium
q084,What is shortness of breath (dyspnea)?,"A sensation of not being able to get enough air, which can be a symptom of heart or lung disease.",symptom,high
q085,What is chronic fatigue?,Persistent and unexplained tiredness that is not relieved by rest.,symptom,easy
q086,What is nausea?,A feeling of sickness with an inclination to vomit.,symptom,medium
q087,What is vertigo?,"A sensation of spinning or whirling, often caused by an inner ear problem.",symptom,high
q088,What is tinnitus?,The perception of noise or ringing in the ears when no external sound is present.,symptom,easy
q089,What is a persistent cough?,"A cough that lasts for eight weeks or more, which may indicate an underlying condition.",symptom,medium
q090,What does blood in stool indicate?,"It can indicate conditions like hemorrhoids, ulcers, or colorectal cancer.",symptom,high
q091,What is unexplained weight loss?,A noticeable drop in body weight that occurs even if the person is not trying to lose weight.,symptom,easy
q092,What are heart palpitations?,"Feelings of having a fast-beating, fluttering, or pounding heart.",symptom,medium
q093,What is bloating?,"A feeling of fullness or swelling in the abdomen, often related to gas or digestive issues.",symptom,high
q094,What is heartburn?,"A burning pain in your chest, just behind your breastbone, often after eating.",symptom,easy
q095,What is insomnia?,"A common sleep disorder that can make it hard to fall asleep, stay asleep, or get good-quality sleep.",symptom,medium
q096,What is a tremor?,"An involuntary, rhythmic muscle contraction leading to shaking movements in one or more parts of the body.",symptom,high
q097,What is numbness?,The partial or total loss of sensation in a part of the body.,symptom,easy
q098,What is edema?,Swelling caused by excess fluid trapped in your body's tissues.,symptom,medium
q099,What is a rash?,A noticeable change in the texture or color of your skin.,symptom,high
q100,What is itching (pruritus)?,An irritating sensation that makes you want to scratch your skin.,symptom,easy
q101,What is a 'pins and needles' feeling (paresthesia)?,"A tingling or prickling sensation, often felt in the hands, feet, or limbs.",symptom,medium
q102,What is blurred vision?,"A loss of sharpness of eyesight, making objects appear out of focus and hazy.",symptom,high
q103,What are 'floaters' in the eye?,"Small dark spots, specks, or string-like shapes that drift through your field of vision.",symptom,easy
q104,What is night blindness?,Difficulty seeing in low light or at night.,symptom,medium
q105,What is dry mouth (xerostomia)?,A condition where the salivary glands in your mouth don't produce enough saliva.,symptom,high
q106,What is loss of smell (anosmia)?,The partial or complete loss of the sense of smell.,symptom,easy
q107,What is joint stiffness?,A feeling of discomfort or difficulty when moving a joint.,symptom,medium
q108,What is muscle weakness?,A lack of strength in the muscles.,symptom,high
q109,What are cramps?,"A sudden, involuntary contraction of one or more of your muscles.",symptom,easy
q110,What is dizziness?,"A term used to describe a range of sensations, such as feeling faint, woozy, weak, or unsteady.",symptom,medium
q111,What is memory loss?,"Unusual forgetfulness that may be a symptom of stress, cognitive decline, or a medical condition.",symptom,high
q112,What is confusion?,A state of not being able to think clearly or as quickly as you normally do.,symptom,easy
q113,What is difficulty swallowing (dysphagia)?,The sensation of food sticking in the throat or chest.,symptom,medium
q114,What is hoarseness?,"A change in the voice, making it sound breathy, raspy, or strained.",symptom,high
q115,What is excess sweating (hyperhidrosis)?,Sweating more than is necessary to regulate body temperature.,symptom,easy
q116,What is pale skin (pallor)?,An unusual lightness of skin color compared to your normal complexion.,symptom,medium
q117,What are cold sweats?,"A sudden feeling of coldness and clammy skin, often a response to stress, pain, or fear.",symptom,high
q118,What is frequent urination?,"Needing to urinate more often than usual, which can be a symptom of diabetes or a UTI.",symptom,easy
q119,What is abdominal pain?,Discomfort or other uncomfortable sensations that you feel in your belly area.,symptom,medium
q120,What is a 'lump'?,A swelling or localized area of hardness that can occur anywhere on the body.,symptom,high
q121,What is chemotherapy?,A cancer treatment that uses powerful drugs to kill fast-growing cells in your body.,treatment,easy
q122,What is radiation therapy?,A cancer treatment that uses high-energy X-rays or other particles to destroy cancer cells.,treatment,medium
q123,What is immunotherapy?,A type of cancer treatment that boosts the body's natural defenses to fight cancer.,treatment,high
q124,What is dialysis?,A procedure to remove waste products and excess fluid from the blood when the kidneys stop working properly.,treatment,easy
q125,What is a stent?,A tiny tube placed into an artery or duct to hold it open.,treatment,medium
q126,What is coronary bypass surgery?,A surgical procedure to restore normal blood flow to an obstructed coronary artery.,treatment,high
q127,What is an angioplasty?,A procedure used to open blocked coronary arteries caused by coronary artery disease.,treatment,easy
q128,What is physical therapy?,"A treatment to improve mobility, reduce pain, and restore function using exercises and equipment.",treatment,medium
q129,What is occupational therapy?,A therapy that helps people of all ages to do the things they want and need to do through the therapeutic use of daily activities.,treatment,high
q130,What is cognitive behavioral therapy (CBT)?,A type of psychotherapy that helps patients identify and change destructive thought patterns.,mental_health,easy
q131,What is an antibiotic?,"A medicine that inhibits the growth of or destroys microorganisms, used to treat bacterial infections.",treatment,medium
q132,What is an antiviral drug?,A medication used specifically for treating viral infections.,treatment,high
q133,What is an antifungal medication?,A medication used to treat and prevent fungal infections (mycoses).,treatment,easy
q134,What is a steroid (corticosteroid)?,"A type of anti-inflammatory drug used to treat conditions like asthma, allergies, and arthritis.",treatment,medium
q135,What is an antihistamine?,A drug that treats allergic rhinitis and other allergies by blocking the effects of histamine.,treatment,high
q136,What is a diuretic?,A medication (often called a 'water pill') that helps rid your body of salt (sodium) and water.,treatment,easy
q137,What is a beta-blocker?,"A medication that works by blocking the effects of the hormone epinephrine (adrenaline), causing the heart to beat slower.",treatment,medium
q138,What is an ACE inhibitor?,A medication used to treat high blood pressure and heart failure by relaxing blood vessels.,treatment,high
q139,What is a statin?,A class of drugs used to lower cholesterol levels in the blood.,treatment,easy
q140,What is an antidepressant?,"A medication used to treat major depressive disorder, anxiety disorders, and other conditions.",treatment,medium
q141,What is a pain reliever (analgesic)?,A medication that reduces or relieves pain.,treatment,high
q142,What is an NSAID?,"Nonsteroidal Anti-Inflammatory Drug (e.g., ibuprofen, naproxen), used to reduce pain, fever, and inflammation.",treatment,easy
q143,What is acetaminophen?,"A common over-the-counter medication (e.g., Tylenol) used to relieve pain and reduce fever.",treatment,medium
q144,What is a blood thinner (anticoagulant)?,A medication that helps prevent blood clots.,treatment,high
q145,What is hormone replacement therapy (HRT)?,A treatment to relieve symptoms of menopause by replacing female hormones.,treatment,easy
q146,What is a pacemaker?,A small device placed in the chest or abdomen to help control abnormal heart rhythms.,treatment,medium
q147,What is a joint replacement?,A surgical procedure in which an arthritic or damaged joint is removed and replaced with an artificial joint.,treatment,high
q148,What is a cast (orthopedic)?,A rigid shell used to immobilize a broken bone to allow it to heal.,treatment,easy
q149,What are sutures (stitches)?,Medical threads used to hold body tissues together after an injury or surgery.,treatment,medium
q150,What is a skin graft?,A surgical procedure that involves removing skin from one area of the body and moving it to a different area.,treatment,high
q151,What is a ventilator?,A machine that provides mechanical ventilation by moving breathable air into and out of the lungs.,treatment,easy
q152,What is an inhaler?,"A medical device used for delivering medication into the body via the lungs, commonly used for asthma.",treatment,medium
q153,What is an EpiPen?,An auto-injector that delivers a dose of epinephrine (adrenaline) to treat severe allergic reactions (anaphylaxis).,treatment,high
q154,What is RICE therapy?,"Rest, Ice, Compression, and Elevation - a common treatment for minor sprains and strains.",first_aid,easy
q155,What is a defibrillator?,A device that gives a high-energy electric shock to the heart of someone who is in cardiac arrest.,treatment,medium
q156,What is a root canal?,A dental procedure to remove the infected pulp from inside a tooth's root.,treatment,high
q157,What are braces (orthodontics)?,Devices used in orthodontics that align and straighten teeth.,treatment,easy
q158,What is laser eye surgery (LASIK)?,"A refractive surgery for the correction of myopia, hyperopia, and astigmatism.",treatment,medium
q159,What is a hearing aid?,A small electronic device that you wear in or behind your ear to amplify sound.,treatment,high
q160,What is a biopsy?,A medical procedure that involves taking a small sample of tissue for examination.,medical_procedure,easy
q161,What is a healthy diet?,"A diet that includes a variety of fruits, vegetables, whole grains, lean proteins, and healthy fats.",preventive_care,medium
q162,Why is exercise important?,"Exercise strengthens muscles, improves cardiovascular health, boosts mood, and helps maintain a healthy weight.",preventive_care,high
q163,How much sleep do I need?,Most adults need 7-9 hours of quality sleep per night for optimal health.,preventive_care,easy
q164,What is the importance of handwashing?,Handwashing with soap and water is a key way to prevent the spread of infections and diseases.,preventive_care,medium
q165,What is a vaccine?,A biological preparation that provides active acquired immunity to a particular infectious disease.,vaccination,high
q166,Why are flu shots recommended annually?,"Because flu viruses evolve quickly, the vaccine is updated each year to match circulating strains.",vaccination,easy
q167,What is a mammogram?,An X-ray image of the breast used to screen for breast cancer.,diagnosis,medium
q168,What is a colonoscopy?,"A medical procedure to examine the large intestine (colon) and rectum, often used to screen for colon cancer.",medical_procedure,high
q169,What is a Pap smear (Pap test)?,"A screening procedure for cervical cancer, testing for abnormal cells in the cervix.",diagnosis,easy
q170,What is a PSA test?,A blood test used primarily to screen for prostate cancer (Prostate-Specific Antigen).,lab_test,medium
q171,What is a 'safe' level of alcohol consumption?,Moderation is defined as up to one drink per day for women and up to two drinks per day for men.,preventive_care,high
q172,What are the risks of a sedentary lifestyle?,"Increased risk of obesity, type 2 diabetes, heart disease, and certain cancers.",preventive_care,easy
q173,What is BMI?,"Body Mass Index, a measure of body fat based on height and weight.",diagnosis,medium
q174,Why is hydration important?,"Water is essential for regulating body temperature, lubricating joints, and helping organs function properly.",preventive_care,high
q175,What is 'safe sex'?,Sexual practices that reduce the risk of transmitting or acquiring sexually transmitted infections (STIs).,preventive_care,easy
q176,How does smoking affect the lungs?,"Smoking damages the airways and air sacs (alveoli) in the lungs, leading to COPD, emphysema, and cancer.",preventive_care,medium
q177,What is secondhand smoke?,"Smoke inhaled involuntarily from tobacco being smoked by others, which is also a health risk.",preventive_care,high
q178,What is SPF in sunscreen?,"Sun Protection Factor, a measure of how well sunscreen blocks UVB rays.",preventive_care,easy
q179,Why is flossing important?,Flossing removes plaque and food particles from between teeth and under the gumline where a toothbrush can't reach.,preventive_care,medium
q180,What is a dental check-up?,A routine visit to the dentist for cleaning and examination to prevent cavities and gum disease.,preventive_care,high
q181,What is stress management?,Techniques and therapies aimed at controlling a person's level of stress.,preventive_care,easy
q182,What is mindfulness?,A mental state achieved by focusing one's awareness on the present moment.,mental_health,medium
q183,What is an annual physical exam?,A routine check-up with a doctor to assess general health and screen for potential problems.,preventive_care,high
q184,What is an STD/STI?,"Sexually Transmitted Disease/Infection, an infection passed from one person to another through sexual contact.",disease,easy
q185,How can I prevent Type 2 diabetes?,"Maintain a healthy weight, eat a balanced diet, and exercise regularly.",preventive_care,medium
q186,How can I prevent skin cancer?,"Limit sun exposure, wear broad-spectrum sunscreen, and avoid tanning beds.",preventive_care,high
q187,What is 'good' cholesterol?,HDL (High-Density Lipoprotein) is 'good' cholesterol because it helps remove 'bad' LDL cholesterol from the arteries.,anatomy,easy
q188,What is 'bad' cholesterol?,LDL (Low-Density Lipoprotein) is 'bad' cholesterol because it can build up in arteries and form plaque.,anatomy,medium
q189,What is the Mediterranean diet?,"A diet emphasizing fruits, vegetables, olive oil, fish, and nuts, linked to heart health.",nutrition,high
q190,Why is quitting smoking so hard?,Nicotine is a highly addictive chemical that causes withdrawal symptoms.,preventive_care,easy
q191,What are macronutrients?,"Nutrients the body needs in large amounts: carbohydrates, proteins, and fats.",nutrition,medium
q192,What are micronutrients?,Nutrients the body needs in smaller amounts: vitamins and minerals.,nutrition,high
q193,What is the role of protein?,"Protein is essential for building and repairing tissues, including muscle, skin, and bones.",nutrition,easy
q194,What is the role of carbohydrates?,Carbohydrates are the body's main source of energy.,nutrition,medium
q195,What are healthy fats?,"Unsaturated fats (monounsaturated and polyunsaturated), found in avocados, nuts, and olive oil.",nutrition,high
q196,What are saturated fats?,"Fats found in red meat, butter, and cheese, which can raise 'bad' LDL cholesterol.",nutrition,easy
q197,What are trans fats?,Artificial fats (partially hydrogenated oils) found in processed foods that raise 'bad' and lower 'good' cholesterol.,nutrition,medium
q198,Why is fiber important?,"Fiber aids digestion, helps maintain bowel health, and can help lower cholesterol.",nutrition,high
q199,What is 'added sugar'?,"Sugars and syrups put in foods during processing or preparation, which should be limited.",nutrition,easy
q200,What is the role of calcium?,Calcium is a mineral essential for building strong bones and teeth.,nutrition,medium
q201,What is the role of iron?,"Iron is a mineral needed to make hemoglobin, a protein in red blood cells that carries oxygen.",nutrition,high
q202,What is the role of potassium?,"Potassium is a mineral that helps regulate fluid balance, muscle contractions, and nerve signals.",nutrition,easy
q203,What is the role of sodium?,"Sodium is needed in small amounts, but excess sodium (from salt) can raise blood pressure.",nutrition,medium
q204,What is Vitamin A good for?,"Vitamin A is important for vision, immune function, and skin health.",nutrition,high
q205,What is Vitamin B12 good for?,Vitamin B12 is crucial for nerve function and the formation of red blood cells.,nutrition,easy
q206,What is Vitamin C good for?,Vitamin C is an antioxidant that helps the immune system and is important for skin and connective tissues.,nutrition,medium
q207,What is Vitamin E good for?,Vitamin E is an antioxidant that protects cells from damage.,nutrition,high
q208,What is Vitamin K good for?,Vitamin K is essential for blood clotting and bone health.,nutrition,easy
q209,What are antioxidants?,"Substances that may protect your cells against free radicals, which play a role in heart disease and cancer.",nutrition,medium
q210,What are probiotics?,Live bacteria and yeasts (good bacteria) that are beneficial for your digestive system.,nutrition,high
q211,What are prebiotics?,Types of fiber that feed the friendly bacteria (probiotics) in your gut.,nutrition,easy
q212,What is a 'calorie'?,"A unit of energy. In nutrition, calories refer to the energy people get from food and drink.",nutrition,medium
q213,What is gluten?,"A protein found in wheat, barley, and rye, which can cause issues for people with celiac disease.",nutrition,high
q214,What is lactose intolerance?,"The inability to fully digest the sugar (lactose) in milk, causing digestive symptoms.",nutrition,easy
q215,What is a vegan diet?,"A diet that excludes all animal products, including meat, dairy, eggs, and honey.",nutrition,medium
q216,What is a vegetarian diet?,"A diet that excludes meat, poultry, and fish, but may include dairy and/or eggs.",nutrition,high
q217,What is the 'food pyramid' (or MyPlate)?,"A nutritional guideline representing a healthy diet, dividing foods into groups.",nutrition,easy
q218,What is an electrolyte?,"Minerals in your body (like sodium, potassium, calcium) that have an electric charge and manage bodily functions.",nutrition,medium
q219,What is a 'superfood'?,A marketing term for food presumed to confer health benefits resulting from an exceptional nutrient density.,nutrition,high
q220,Is caffeine bad for you?,"In moderation (up to 400mg daily), caffeine is safe for most adults, but too much can cause anxiety and disrupt sleep.",nutrition,easy
q221,What is the function of the heart?,The heart is a muscular organ that pumps blood throughout the body.,anatomy,medium
q222,What is the function of the lungs?,"The lungs are responsible for gas exchange, bringing oxygen into the body and removing carbon dioxide.",anatomy,high
q223,What is the function of the liver?,"The liver filters blood, detoxifies chemicals, metabolizes drugs, and produces bile.",anatomy,easy
q224,What is the function of the kidneys?,"The kidneys filter waste and excess water from the blood, producing urine.",anatomy,medium
q225,What is the function of the brain?,"The brain is the control center of the body, managing thoughts, memory, emotion, touch, and all bodily functions.",anatomy,high
q226,What is the function of the stomach?,"The stomach digests food by mixing it with digestive juices, breaking it down into a liquid.",anatomy,easy
q227,What is the function of the small intestine?,The small intestine is where most of the digestion and absorption of nutrients from food takes place.,anatomy,medium
q228,What is the function of the large intestine (colon)?,The large intestine absorbs water and electrolytes from remaining indigestible food matter.,anatomy,high
q229,What is the function of the pancreas?,The pancreas produces enzymes for digestion and hormones like insulin to regulate blood sugar.,anatomy,easy
q230,What is the function of the gallbladder?,"The gallbladder stores and concentrates bile, a digestive fluid produced by the liver.",anatomy,medium
q231,What is the function of the spleen?,"The spleen filters blood, recycles old red blood cells, and stores white blood cells.",anatomy,high
q232,What is the skin?,"The skin is the body's largest organ, acting as a protective barrier against the environment.",anatomy,easy
q233,What is the skeleton?,"The framework of bones that provides structure, support, and protection for the body.",anatomy,medium
q234,What is a muscle?,"Tissue that can contract, producing movement.",anatomy,high
q235,What is a tendon?,A flexible but inelastic cord of strong fibrous tissue attaching a muscle to a bone.,anatomy,easy
q236,What is a ligament?,"A short band of tough, flexible fibrous connective tissue that connects two bones or cartilages.",anatomy,medium
q237,What is cartilage?,"A firm, flexible connective tissue found in joints, the ear, and the nose.",anatomy,high
q238,What is a joint?,A connection between bones in the body that links the skeletal system into a functional whole.,anatomy,easy
q239,What is the central nervous system (CNS)?,The CNS consists of the brain and spinal cord and is the body's main processing center.,anatomy,medium
q240,What is the peripheral nervous system (PNS)?,"The network of nerves outside the brain and spinal cord, connecting the CNS to the rest of the body.",anatomy,high
q241,What is a neuron?,A nerve cell; the basic building block of the nervous system.,anatomy,easy
q242,What is the endocrine system?,"The collection of glands that produce hormones to regulate metabolism, growth, and sexual function.",anatomy,medium
q243,What is the thyroid gland?,"A gland in the neck that produces hormones regulating metabolism, heart rate, and body temperature.",anatomy,high
